chrom	start	end	GC_percent	N_count	N_percent	genes	genes_per_Mb
CM065576.1	50000	100000	54.978	0	0	5	100
CM065576.1	100000	150000	50.874	0	0	5	100
CM065576.1	150000	200000	53.436	0	0	2	40
CM065576.1	200000	250000	53.962	0	0	3	60
CM065576.1	250000	300000	56.734	0	0	5	100
CM065576.1	300000	350000	52.566	0	0	2	40
CM065576.1	350000	400000	54.058	0	0	2	40
CM065576.1	400000	450000	51.53	0	0	3	60
CM065576.1	450000	500000	52.966	0	0	5	100
CM065576.1	500000	550000	52.992	0	0	5	100
CM065576.1	550000	600000	53.462	0	0	3	60
CM065576.1	600000	650000	54.386	0	0	5	100
CM065576.1	650000	700000	54.01	0	0	5	100
CM065576.1	700000	750000	52.242	0	0	5	100
CM065576.1	750000	800000	55.048	0	0	5	100
CM065576.1	800000	850000	51.93	0	0	5	100
CM065576.1	850000	900000	51.642	0	0	4	80
CM065576.1	900000	950000	51.298	0	0	2	40
CM065576.1	950000	1000000	51.432	0	0	5	100
CM065576.1	1000000	1050000	52.782	0	0	3	60
CM065576.1	1050000	1100000	50.922	0	0	5	100
CM065576.1	1100000	1150000	50.836	0	0	3	60
CM065576.1	1150000	1200000	50.666	0	0	3	60
CM065576.1	1200000	1250000	51.602	0	0	4	80
CM065576.1	1250000	1300000	52.084	0	0	3	60
CM065576.1	1300000	1350000	50.884	0	0	8	160
CM065576.1	1350000	1400000	50.922	0	0	6	120
CM065576.1	1400000	1450000	49.674	0	0	6	120
CM065576.1	1450000	1500000	51.722	0	0	6	120
CM065576.1	1500000	1550000	50.622	0	0	9	180
CM065576.1	1550000	1600000	53.612	0	0	2	40
CM065576.1	1600000	1650000	57.728	0	0	6	120
CM065576.1	1650000	1700000	52.684	0	0	4	80
CM065576.1	1700000	1750000	53.564	0	0	6	120
CM065576.1	1750000	1800000	53.078	0	0	4	80
CM065576.1	1800000	1850000	51.038	0	0	4	80
CM065576.1	1850000	1864358	49.812	0	0	2	40
CM065577.1	0	50000	55.082	0	0	9	180
CM065577.1	50000	100000	51.75	0	0	4	80
CM065577.1	100000	150000	50.848	0	0	4	80
CM065577.1	150000	200000	52.116	0	0	2	40
CM065577.1	200000	250000	51.69	0	0	4	80
CM065577.1	250000	300000	50.184	0	0	5	100
CM065577.1	300000	350000	50.464	0	0	4	80
CM065577.1	350000	400000	49.996	0	0	6	120
CM065577.1	400000	450000	51.354	0	0	1	20
CM065577.1	450000	500000	51.592	0	0	2	40
CM065577.1	500000	550000	51.354	0	0	4	80
CM065577.1	550000	600000	54.806	0	0	5	100
CM065577.1	600000	650000	55.246	0	0	5	100
CM065577.1	650000	700000	50.524	0	0	8	160
CM065577.1	700000	750000	51.128	0	0	4	80
CM065577.1	750000	800000	51.88	0	0	7	140
CM065577.1	800000	850000	51.15	0	0	3	60
CM065577.1	850000	900000	52.632	0	0	4	80
CM065577.1	900000	950000	51.37	0	0	5	100
CM065577.1	950000	1000000	53.324	0	0	2	40
CM065577.1	1000000	1050000	57.976	0	0	3	60
CM065577.1	1050000	1100000	51.502	0	0	4	80
CM065577.1	1100000	1150000	52.01	0	0	3	60
CM065577.1	1150000	1200000	54.02	0	0	5	100
CM065577.1	1200000	1250000	51.662	0	0	4	80
CM065577.1	1250000	1300000	52.588	0	0	3	60
CM065577.1	1300000	1350000	51.792	0	0	6	120
CM065577.1	1350000	1400000	52.042	0	0	4	80
CM065577.1	1400000	1450000	52.77	0	0	5	100
CM065577.1	1450000	1500000	51.128	0	0	5	100
CM065577.1	1500000	1550000	52.02	0	0	3	60
CM065577.1	1550000	1600000	53.522	0	0	2	40
CM065577.1	1600000	1650000	52.934	0	0	3	60
CM065577.1	1650000	1700000	54.136	0	0	7	140
CM065577.1	1700000	1750000	51.232	0	0	5	100
CM065577.1	1750000	1800000	50.35	0	0	4	80
CM065577.1	1800000	1850000	53	0	0	7	140
CM065577.1	1850000	1900000	53.954	0	0	4	80
